caminho,tipo,feature,responsabilidade,camada,importadores_principais,dependencias_pesadas,leitura_dados,escrita_dados,cache_atual,invalidacao_atual,risco_seguranca,risco_desempenho,codigo_duplicado,teste_associado,acao_recomendada,prioridade,estado
.claude/commands/next-task.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.claude/commands/review-task.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.claude/commands/security-review.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.editorconfig,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.env.example,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.gitattributes,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.githooks/pre-commit,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/CODEOWNERS,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/ISSUE_TEMPLATE/bug.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/ISSUE_TEMPLATE/feature.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/pull_request_template.md,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/workflows/ci.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/workflows/codeql.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/workflows/dependency-review.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.github/workflows/secret-scan.yml,ci-config,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.gitignore,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.gitleaks.toml,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.nvmrc,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.prettierignore,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
.prettierrc.json,config-json,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
AGENTS.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
CLAUDE.md,other,root,,shared,,,select/from,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
CONTRIBUTING.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
MASTER_EXECUTION_PROMPT.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
README.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
SECURITY.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
TASKS.md,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/01_PRODUCT_REQUIREMENTS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/02_UX_FLOWS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/03_ARCHITECTURE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/04_DATA_MODEL.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/05_SECURITY_PRIVACY.md,doc,docs,,docs,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/06_API_CONTRACTS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/07_TEST_STRATEGY.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/08_OPERATIONS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/09_RELEASE_PLAN.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/10_RISK_REGISTER.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/DATA_MAP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/DESIGN_SYSTEM.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/ENVIRONMENTS_AND_SECRETS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/GITHUB_SETUP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/REFERENCES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-001-monolito-modular.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-002-multitenancy.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-003-whatsapp-manual.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-004-money-time.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-005-booking-concurrency.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-006-github-plan-constraints.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-007-supabase-dev-cloud-fallback.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-008-function-privilege-defaults.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-009-supabase-email-link-implicit-flow.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/ADR-010-write-confirmation-standard.md,doc,docs,,docs,,,select/from,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/README.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/adr/TEMPLATE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/BUG_2026-07-28_PUBLIC_BOOKING_CLIENT_CONCURRENCY.md,doc,docs,,docs,,,rpc,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/FIX_2026-07-20_PUBLIC_BOOKING_RPC_BROKEN.md,doc,docs,,docs,,,rpc,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-001_BOOTSTRAP_VALIDATION.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-002_QUALITY_GATES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-003_GITHUB_REPO_SETUP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-004_ENV_AND_SECRETS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-005_ADR_PROCESS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-010_SUPABASE_INIT.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-011_SCHEMA_HARDENING.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-012_RLS_TENANT_SCOPED.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-013_TENANT_PROVISIONING.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-014_AUDIT_APPEND_ONLY.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-015_CI_RLS_ISOLATION.md,doc,docs,,docs,,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-020_LOGIN_LOGOUT.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-021_PASSWORD_RECOVERY.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-022_PROTECTED_ROUTES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-023_APP_SHELL.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-030_ONBOARDING_WIZARD_ENGINE.md,doc,docs,,docs,,,,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-031_BUSINESS_STEP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
